,source,title,img_url,title_en,payment,tags,info,lda_tags,hours,contacts,new_tags,new_tat_tags,latitude,longitude,address,subdistrict,district,province
0,กรมศิลปากร,วัดคีรีวรรณาวาส(ร้าง)(วัดศิริวรรณาวาส),,,,['วัด'],,['วัด'],[],{},['วัด'],"['ศาสนสถาน', 'โบราณสถาน/ศาสนสถาน/สถานปฏิบัติธรรม']",7.19,100.58,"เลขที่ - หมู่ - บ้าน -
ถนน - หัวเขา สิงหนคร สงขลา",หัวเขา,สิงหนคร,สงขลา
1,กรมศิลปากร,วัดสุวรรณคีรี,,,,['วัด'],,['วัด'],[],{},['วัด'],"['ศาสนสถาน', 'โบราณสถาน/ศาสนสถาน/สถานปฏิบัติธรรม']",7.19,100.58,"เลขที่ 796 หมู่ 2 บ้าน แหลมสน
ถนน - หัวเขา สิงหนคร สงขลา",หัวเขา,สิงหนคร,สงขลา
2,กรมศิลปากร,วัดดีหลวงใน,,,,"['อุโบสถ', 'โบสถ์', 'วัด']",โบสถ์ 1 หลัง อุโบสถวัดดีหลวงในเป็นรูปแบบสถาปัตยกรรมต้นพุทธศตวรรษที่ 25 ตามพระราชนิยมในรัชกาลที่ 3 ที่สืบทอดต่อกันมา โดยยึดแนวช่างหลวง แต่ปรับบางส่วนให้เข้ากับรูปแบบท้องถิ่น โครงสร้างของอุโบสถก่อด้วยอิฐถือปูน เป็นอุโบสถโถงสามารถเดินได้รอบ บริเวณหน้าบันตกแต่งด้วยลายปูนปั้นรูปเทวดาประทับนั่งในวิมาน,"['อุโบสถ', 'โบสถ์', 'วัด', 'พระประธาน', 'ศาลาการเปรียญ', 'อยุธยา', 'หลังคา', 'พระพุทธรูป', 'ศิลปะ', 'ประวัติศาสตร์', 'การศึกษา', 'สมเด็จ_พระนารายณ์_มหาราช', 'พระธรรม', 'เจดีย์', 'พระพุทธ_ไสยาสน์', 'พิพิธภัณฑ์']",[],{},"['วัด', 'โบสถ์', 'อุโบสถ']","['ศาสนสถาน', 'โบราณสถาน/ศาสนสถาน/สถานปฏิบัติธรรม']",7.28,100.51,"เลขที่ - หมู่ - บ้าน -
ถนน - ชิงโค สิงหนคร สงขลา",ชิงโค,สิงหนคร,สงขลา
3,กรมศิลปากร,ภูเขาน้อย(ทั้งลูก),,,,"['สถูป', 'ศิลปกรรม', 'ทวารวดี', 'ทวาราวดี', 'ภาคใต้', 'พิพิธภัณฑสถานแห่งชาติ', 'ยอดเขา', 'อยุธยา', 'ภูเขา', 'ประดิษฐาน', 'เจดีย์', 'พระพุทธรูป']","ซากเจดีย์ 1 องค์ เหลือเพียงส่วนฐาน กุฑุแผ่นหินจำหลัก สถูปก่ออิฐ
 ซากสถูปก่ออิฐตั้งอยู่บนยอดเขาน้อยปัจจุบันเหลือร่องรอยส่วนฐานของสถูปซึ่งมีแผนผังเป็นรูปสี่เหลี่ยมขนาดกว้างประมาณ20เมตร ยาวประมาณ 20เมตร บริเวณฐานทำเป็นซุ้มประดิษฐานพระพุทธรูปสถูปบนเขาน้อยปรากฏร่องรอยการก่อสร้างหลายสมัยสันนิษฐานว่าเดิมน่าจะสร้างขึ้นตามรูปแบบศิลปกรรมแบบศรีวิชัยและทวารวดี ต่อมาจึงต่อเติมและแก้ไขเป็นศิลปกรรมแบบอยุธยาจากการขุดแต่งเมื่อปีพ.ศ.2529 ได้พบกุฑุ [1] ทำจากหิน มีลักษณะคล้ายวงโค้งรูปเกือกม้า ยอดแหลม ปลายฐานทั้งสองข้างแกะสลักคล้ายรูปใบไม้ม้วนขึ้น ภาพหน้าบุคคลในลักษณะหน้าเข้ม ผมหวีเสย คิ้วโก่ง จมูกเป็นสัน ปากอมยิ้ม สวมตุ้มหูขนาดใหญ่ กำหนดอายุในพุทธศตวรรษที่ 12-16 ซึ่งแสดงลักษณะศิลปกรรมแบบทวารวดีที่เริ่มมีอิทธิพลท้องถิ่นภาคใต้มาผสม 
 [1]สิริพรรณ ธีรศรีโชติ, พิพิธภัณฑสถานแห่งชาติ สงขลา (กรุงเทพฯสำนักพิมพ์สมาพันธ์,2542), 130.","['สถูป', 'ศิลปกรรม', 'ทวารวดี', 'ทวาราวดี', 'ภาคใต้', 'พิพิธภัณฑสถานแห่งชาติ', 'ยอดเขา', 'อยุธยา', 'ภูเขา', 'ประดิษฐาน', 'เจดีย์', 'พระพุทธรูป', 'ศิลาแลง', 'ตะวันออก', 'อู่_ทอง', 'พิพิธภัณฑ์']",[],{},"['สถูป', 'ภูเขา', 'พระพุทธรูป', 'พิพิธภัณฑสถานแห่งชาติ', 'ทวารวดี']","['ศาสนสถาน', 'โบราณสถาน/ศาสนสถาน/สถานปฏิบัติธรรม', 'ธรรมชาติ', 'อนุสาวรีย์/พิพิธภัณฑ์', 'วัฒนธรรมท้องถิ่น']",7.21,100.56,"เลขที่ - หมู่ 7 บ้าน -
ถนน ทางหลวง408และ4083 หัวเขา สิงหนคร สงขลา",หัวเขา,สิงหนคร,สงขลา
4,กรมศิลปากร,ป้อมของพระยาแขก(มรหุ่ม) (ป้อมหมายเลข 9),,,,[],,[],[],{},['ป้อม'],"['โบราณสถาน', 'โบราณสถาน/ศาสนสถาน/สถานปฏิบัติธรรม']",7.22,100.56,"เลขที่ - หมู่ - บ้าน -
ถนน - หัวเขา สิงหนคร สงขลา",หัวเขา,สิงหนคร,สงขลา
5,กรมศิลปากร,พระเจดีย์ของสมเด็จเจ้าพระยาองค์น้อยและองค์ใหญ่บนเขาค่ายม่วง,,,,"['พระเจดีย์', 'เจดีย์', 'สี่เหลี่ยม', 'เจ้าฟ้า', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว', 'กำแพงแก้ว', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว_รัชกาล', 'ลำน้ำ', 'ยอดเขา', 'กำแพง', 'โบราณสถาน']","เจดีย์ก่ออิฐถือปูน2องค์ พระเจดีย์ของสมเด็จฯ องค์น้อย องค์ใหญ่ บนเขาค่ายม่วง พระเจดีย์บนเขาค่ายม่วงดังกล่าวเป็นพระเจดีย์สำคัญ สภาพเดิมของพระเจดีย์ปรากฏอยู่ในเอกสารชีวิวัฒน์ ความว่า ...ในลำน้ำสงขลาฝั่งตะวันตกตั้งแต่เข้าปากอ่าวพ้นแหลมเขาแดงมาแล้วที่บนยอดเขานกรำนั้นมีพระเจดีย์เล็ก2องค์เป็นของสมเด็จเจ้าพระยาองค์ใหญ่องค์ 1ของสมเด็จเจ้าพระยาองค์น้อยองค์หนึ่งแต่ชำรุดเสียองค์หนึ่ง…[1] จากข้อความดังกล่าวทำให้เห็นสภาพของพระเจดีย์ได้ว่าในรัชสมัยพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัวฯพระเจดีย์องค์หนึ่งมีสภาพชำรุดแล้ว โบราณสถานเจดีย์สองพี่น้อง ประกอบด้วย พระเจดีย์สององค์ โดยระหว่างเจดีย์ทั้งสององค์นั้นมีศาลาเก๋งจีนคั่นอยู่ โดยทั้งหมดตั้งอยู่บนกำแพงกันดินที่เป็นฐานสูงก่อด้วยหินลักษณะรูปทรงคล้ายป้อม พระเจดีย์องค์ดำ เป็นเจดีย์ย่อมุมไม้สิบสองบนฐานเขียงสี่เหลี่ยมที่ก่อด้วยหิน ถัดขึ้นไปเป็นฐานแปดเหลี่ยม องค์เจดีย์เป็นชุดฐานสิงห์ซ้อนกัน 3 ชั้น ส่วนยอดขององค์เจดีย์หักชำรุด องค์พระเจดีย์ฉาบด้วยปูนมีสีคล้ำ(ชาวบ้านขึ้นเรียนว่า เจดีย์องค์ดำ) ตัวเจดีย์หันหน้าไปทางด้านทิศตะวันตกพระเจดีย์องค์ขาว เป็นเจดีย์ย่อมุมไม้สิบสองบนฐานเขียงสี่เหลี่ยม ถัดขึ้นไปเป็นฐานทรงแปดเหลี่ยมบัลลังก์ขึ้นไปถึงส่วนยอดหักชำรุด องค์พระเจดีย์ก่ออิฐถือปูนฉาบผิวยังอยู่ในสภาพดี ผิวสีขาว (ชาวบ้านจึงเรียกว่าเจดีย์องค์ขาว) ที่ลานประทักษิณปรากฏกำแพงแก้วมีช่องเขาสู่ลานประทักษิณ 2 ด้าน [1] สมเด็จพระเจ้าบรมวงศ์เธอเจ้าฟ้าภาณุรังสีสว่างวงศ์กรมพระยาภาณุพันธุวงศ์วรเดช ชีวิวัฒน์ เที่ยวที่ต่าง ๆ ภาคที่ 7 (.ม.ป.ท.  โรงพิมพ์คุรุสภาพระสุเมรุ, 2511).","['พระเจดีย์', 'เจดีย์', 'สี่เหลี่ยม', 'เจ้าฟ้า', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว', 'กำแพงแก้ว', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว_รัชกาล', 'ลำน้ำ', 'ยอดเขา', 'กำแพง', 'โบราณสถาน', 'ภาพเขียน', 'ล้านนา', 'ใบเสมา', 'พระอุโบสถ', 'ซุ้มประตู']",[],{},"['กำแพงแก้ว', 'พระเจดีย์', 'เจดีย์']","['โบราณสถาน', 'ศาสนสถาน', 'โบราณสถาน/ศาสนสถาน/สถานปฏิบัติธรรม']",7.22,100.57,"เลขที่ - หมู่ - บ้าน -
ถนน - หัวเขา สิงหนคร สงขลา",หัวเขา,สิงหนคร,สงขลา
6,กรมศิลปากร,ที่ฝังศพพระยาแขก(มรหุ่ม),,,,[],,[],[],{},[],[],7.23,100.56,"เลขที่ - หมู่ - บ้าน -
ถนน ทางหลวง408 หัวเขา สิงหนคร สงขลา",หัวเขา,สิงหนคร,สงขลา
7,กรมศิลปากร,สุสานต้นตระกูล ณ สงขลา แปลงที่ 1,,,,"['สมบัติ', 'บรรจุ_อัฐิ']","สุสานจีน (สุสานเจ้าเมืองสงขลา) 
สุสานตระกูล ณ สงขลา มีพื้นที่ทั้งหมดรวม 3 แปลงนับจากขวา (ทิศตะวันออก) ไปทางซ้าย (ทิศตะวันตก) ดังมีรายละเอียดดังนี้ แปลงที่ 1 
สุสานที่ 1 เป็นสุสานของเจ้าพระยาพิไชยคีรี (บุญหุ้ย ณ สงขลา) ผู้สำเร็จราชการเมืองสงขลา ในสกุล ณ สงขลา คนที่ 2 ระหว่าง พ.ศ. 2327 ถึง พ.ศ. 2354 สุสานนี้สร้างขึ้น พ.ศ. 2355
 สุสานที่ 2 เป็นสุสานของหลวงสุวรรณคีรีสมบัติ (เหยี่ยง) ต้นตระกูล ณ สงขลา ผู้สำเร็จราชการเมืองสงขลาในสกุล ณ สงขลา คนที่ 1 ระหว่าง พ.ศ. 2318 ถึง พ.ศ. 2327 สุสานนี้สร้างขึ้น พ.ศ. 2332
 สุสานที่ 3 เป็นสุสานของภรรยาหลวง เซ่เล้า ของหลวงสุวรรณคีรีสมบัติ (เหยี่ยง) ภรรยาหลวงผู้นี้ถึงแก่กรรมเมื่อ พ.ศ. 2328 ในจารึกไม่ได้ระบุปีที่สร้างสุสาน
 สุสานที่ 4 เป็นสุสานของเถี้ยนเส้ง (บุญเส้ง ณ สงขลา) บุตรของหลวงสุวรรณคีรีสมบัติ (เหยี่ยง) สุสานนี้สร้างขึ้น พ.ศ. 2340
 สุสานที่ 5 เป็นสุสานของพระอนันตสมบัติ (บุญเฮี้ยว ณ สงขลา) ผู้ช่วยราชการเมืองสงขลาและผู้ว่าราชการเมืองจะนะ ได้รับแต่งตั้งเป็นที่พระอนันตสมบัติ ผู้ช่วยราชการเมืองสงขลาและผู้ว่าราชการเมืองจะนะ เมื่อปี พ.ศ. 2363 สุสานนี้เป็นสุสานบรรจุอัฐิ สร้างขึ้น พ.ศ. 2332
 สุสานที่ 6 เป็นสุสานภรรยา 2 คน ของพระอนันตสมบัติ (บุญเฮี้ยว ณ สงขลา) ผู้ช่วยราชการเมืองสงขลาและผู้ว่าเมืองจะนะ สกุลเดิมของภรรยาทั้ง 2 คน คือ แซ่ฉั่ว เข้าใจว่าเป็นพี่น้องกัน สุสานนี้สร้างขึ้น พ.ศ. 2341
 สุสานที่ 7 ภริยาของผู้ชายแซ่สิม นามสกุลเดิมของนาง แซ่โง๋ว มาจากบ้านต้นเสี้ยว ประเทศจีน เป็นต้นตระกูลเดียวกับตระกูล ณ สงขลา สุสานนี้สร้างขึ้น พ.ศ. 2343
 สุสานที่ 8 ของผู้ชายแซ่สิม สามีของผู้หญิงที่บรรจุในสุสานหมายเลข 7 สุสานนี้สร้างขึ้น พ.ศ. 2343
 สุสานที่ 9 ภริยาหลวงของเจ้าพระยาพิไชยคีรี (บุญหุ้ย) ตระกูลเดิมแซ่แต้ สุสานนี้สร้างขึ้น พ.ศ. 2351
 สุสานที่ 10 ภริยาผู้ใดไม่ปรากฏ ตระกูลเดิมของนาง แซ่จึง เข้าใจว่าเป็นน้องของภริยาของพระเจ้าสงขลา (เหยียง) สุสานนี้สร้างขึ้น พ.ศ. 2367","['สมบัติ', 'บรรจุ_อัฐิ']",[],{},['สุสาน'],"['โบราณสถาน', 'ศาสนสถาน', 'โบราณสถาน/ศาสนสถาน/สถานปฏิบัติธรรม']",7.19,100.57,"เลขที่ - หมู่ 6 บ้าน -
ถนน - หัวเขา สิงหนคร สงขลา",หัวเขา,สิงหนคร,สงขลา
8,กรมศิลปากร,วัดโพธิ์,,,,"['วิหาร', 'วัด']",มณฑป 1 หลัง และซากวิหาร 1 หลัง,"['วิหาร', 'วัด', 'ภาพจิตรกรรมฝาผนัง', 'จิตรกรรมฝาผนัง', 'พระบรมธาตุ', 'พุทธประวัติ', 'ประดิษฐาน', 'หลังคา', 'วิทยาลัย', 'ศิลปะ', 'ล้านนา']",[],{},"['วัด', 'วิหาร']","['ศาสนสถาน', 'โบราณสถาน/ศาสนสถาน/สถานปฏิบัติธรรม']",6.89,100.38,"เลขที่ - หมู่ - บ้าน -
ถนน - คลองหอยโข่ง คลองหอยโข่ง สงขลา",คลองหอยโข่ง,คลองหอยโข่ง,สงขลา
9,กรมศิลปากร,พระเจดีย์  (ตั้งอยู่บนเขารูปช้าง),,,,"['เจดีย์', 'พระเจดีย์', 'ระฆัง']","เจดีย์ 1 องค์ 
เจดีย์ย่อมุมไม้สิบสองก่ออิฐถือปูนตั้งอยู่บนหินสูงประมาณ 3 เมตร เศษ ฐานเจดีย์เป็นรูปสี่เหลี่ยมจัตุรัส องค์ระฆังทรงเหลี่ยมแบบย่อมุมไม้สิบสองยอดเจดีย์หัก","['เจดีย์', 'พระเจดีย์', 'ระฆัง', 'ภาพเขียน', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว', 'พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว_รัชกาล', 'ล้านนา', 'เพชรบูรณ์', 'ปฏิบัติธรรม', 'พื้นเมือง', 'ซุ้มประตู', 'ทอผ้า', 'ภูมิปัญญา', 'สุโขทัย', 'วิหาร', 'สารีริกธาตุ']",[],{},"['พระเจดีย์', 'เจดีย์']","['ศาสนสถาน', 'โบราณสถาน/ศาสนสถาน/สถานปฏิบัติธรรม']",7.15,100.61,"เลขที่ - หมู่ - บ้าน -
ถนน - เขารูปช้าง เมืองสงขลา สงขลา",เขารูปช้าง,เมืองสงขลา,สงขลา
